 Ver5.0 position,Systematic ID,Gene ,Gene description,Ver5.0 strain (vs M-2030H-U5),Ver5.0 strain (vs M-3030H-U5),Ver5.0 strain (vs M-4030H-U5),ade type,,Plate/well position,,,,,,,,,,,,,
V5-P06-90,SPBC27.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P06-91,SPBC27B12.05,0,WD repeat protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P06-92,SPBC28F2.08c,0,HRD ubiquitin ligase complex subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P06-93,SPBC29A10.09c,0,CAF1 family ribonuclease,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P06-94,SPBC29A10.14,rec8,meiotic cohesin complex subunit Rec8,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P06-95,SPBC29A3.03c,0,ubiquitin-protein ligase E3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P06-96,SPBC29A3.05,0,chromatin remodeling complex subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-01,SPBC29A3.09c,0,AAA family ATPase Gcn20,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-02,SPBC29A3.13,0,PWWP domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-03,SPBC29A3.18,cyt1,cytochrome c1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-04,SPBC2A9.03,0,conserved protein (fungal and plant),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-05,SPBC2A9.04c,0,Sir Antagonist ortholog,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-06,SPBC2D10.15c,0,peptidyl-tRNA hydrolase Pth1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-08,SPBC2F12.11c,rep2,transcriptional activator Rep2,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-09,SPBC30B4.02c,0,"R3H and G-patch domain, unknown biological role",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-10,SPBC30B4.03c,0,conserved protein (fungal and plant),ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-11,SPBC30B4.06c,0,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-12,SPBC31F10.07,0,cortical component Lsb5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-13,SPBC31F10.09c,nut2,mediator complex subunit Med10,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-14,SPBC31F10.12,0,RNA-binding protein Tma20,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-15,SPBC31F10.16,0,ChAPs family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-16,SPBC32C12.03c,ppk25,serine/threonine protein kinase Ppk25,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-17,SPBC32F12.02,rec14,recombination protein Rec14,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-18,SPBC32F12.06,pch1,cyclin Pch1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-19,SPBC32H8.06,mug93,"TPR repeat protein, meiotically spliced",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-20,SPBC32H8.08c,0,mannosyltransferase complex subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-21,SPBC32H8.11,mei4,meiotic forkhead transcription factor Mei4,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-22,SPBC32H8.13c,mok12,"alpha-1,3-glucan synthase Mok12",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-23,SPBC336.03,efc25,exchange factor Cdc25p-like,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-24,SPBC336.14c,ppk26,serine/threonine protein kinase Ppk26,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-25,SPBC337.03,0,conserved eukaryotic protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-26,SPBC337.04,ppk27,serine/threonine protein kinase Ppk27,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-27,SPBC342.05,crb2,"DNA repair protein RAD9 homolog, Rhp9",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-28,SPBC342.06c,rtt109,RTT109 family histone lysine acetyltransferase Rtt109,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-29,SPBC354.13,rga6,GTPase activating protein Rga6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-30,SPBC359.06,mug14,adducin,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-31,SPBC36.07,iki3,RNA polymerase II elongator subunit Iki3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-32,SPBC365.01,0,sec14 cytosolic factor family,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-33,SPBC365.10,0,actin-like protein Arp5,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-34,SPBC36B7.08c,0,nucleosome assembly protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-35,SPBC3E7.05c,0,conserved eukaryotic protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-36,SPBC3F6.01c,0,serine/threonine protein phosphatase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-37,SPBC3H7.13,0,FHA domain protein Far10,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-38,SPBC4.05,mlo2,zinc finger protein Mlo2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-39,SPBC409.19c,0,metaxin,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-40,SPBC428.15,0,GTP binding protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-41,SPBC4B4.04,0,translation initiation factor eIF2A,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-42,SPBC4B4.07c,usp102,U1 snRNP-associated protein Usp102,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-43,SPBC4B4.10c,mug77,autophagy associated protein Atg5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-44,SPBC4C3.04c,0,guanyl-nucleotide exchange factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-45,SPBC4F6.12,pxl1,LIM domain,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-46,SPBC543.02c,0,DNAJ/TPR domain protein DNAJC7 family,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-47,SPBC543.05c,0,inorganic anion exchanger,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-48,SPBC543.10,0,GET complex subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-49,SPBC557.04,ppk29,Ark1/Prk1 family protein kinase Ppk29,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-50,SPBC56F2.03,0,actin-like protein Arp10,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-51,SPBC577.03c,0,GCN5-related N-acetyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-52,SPBC577.13,syj2,inositol polyphosphate phosphatase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-53,SPBC582.09,pex11,peroxisomal biogenesis factor 11,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-54,SPBC609.02,ptn1,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-55,SPBC609.03,0,"WD repeat protein, human IQWD1 family",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-56,SPBC646.13,sds23,inducer of sexual development Sds23/Moc1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-57,SPBC651.02,0,nitrilase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-58,SPBC660.10,0,translation elongation factor G,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-59,SPBC660.12c,0,peptide epimerase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-60,SPBC685.06,rps001,40S ribosomal protein S0A (p40),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-61,SPBC685.07c,rpl2701,60S ribosomal protein L27,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-62,SPBC6B1.02,ppk30,Ark1/Prk1 family protein kinase Ppk30,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-63,SPBC713.11c,pmp3,plasma membrane proteolipid Pmp3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-64,SPBC725.01,0,aspartate aminotransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-65,SPBC776.01,rpl29,60S ribosomal protein L29,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-66,SPBC800.04c,rpl4301,60S ribosomal protein L37a,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-67,SPBC83.05,0,RNA-binding protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-68,SPBC83.17,0,"transcriptional coactivator, multiprotein bridging factor Mbf1",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-69,SPBC839.07,ibp1,itty bitty phosphatase Ibp1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-70,SPBC887.10,mcs4,two-component response regulator,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-71,SPBC8D2.01,gsk31,serine/threonine protein kinase Gsk31,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-72,SPBC8D2.19,mde3,serine/threonine protein kinase Mde3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-73,SPBC902.02c,ctf18,DNA replication factor C complex subunit Ctf18,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-74,SPBC9B6.03,0,zinc finger protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-75,SPBC9B6.07,0,nucleolar protein Nop52 family,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P07-76,SPBC9B6.09c,mdl1,mitochondrial peptide-transporting ATPase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-77,SPBP16F5.03c,tra1,phosphatidylinositol kinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-78,SPBP16F5.05c,0,ribosome biogenesis protein Nop8,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-79,SPBP16F5.08c,0,flavin dependent monooxygenase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-80,SPBP19A11.02c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-81,SPBP22H7.05c,0,ATPase with bromodomain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-82,SPBP35G2.06c,nup131,nucleoporin Nup131,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-83,SPBP35G2.10,mit1,SHREC complex subunit Mit1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-84,SPBP4H10.13,rps2302,40S ribosomal protein S23,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-85,SPBP4H10.16c,0,phosphatase activator,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-86,SPBP8B7.06,rpp201,60S acidic ribosomal protein P2A subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-87,SPBP8B7.23,0,ubiquitin-protein ligase E3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-88,SPBP8B7.25,cyp4,cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-89,SPBP8B7.30c,thi5,transcription factor Thi5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-90,SPBPB2B2.05,0,GMP synthase [glutamine-hydrolyzing],ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-91,SPBPB2B2.10c,0,galactose-1-phosphate uridylyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-92,SPBPB2B2.11,0,"nucleotide-sugar 4,6-dehydratase",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-93,SPBPB2B2.12c,0,UDP-glucose 4-epimerase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-94,SPBPJ4664.03,mfm3,M-factor precursor Mfm3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-95,SPCC1020.12c,0,xap-5-like protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P07-96,SPCC1183.02,0,glutathione S-transferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-01,SPCC1183.04c,pet127,mitochondrial membrane protein Pet127,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-02,SPCC11E10.07c,0,translation initiation factor eIF2B alpha subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-03,SPCC11E10.08,rik1,silencing protein Rik1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-04,SPCC1223.05c,rpl3702,60S ribosomal protein L37,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-05,SPCC1223.06,tea1,cell end marker Tea1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-06,SPCC1223.13,cbf12,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-07,SPCC1235.05c,fft2,fun thirty related protein Fft2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-09,SPCC1259.03,rpa12,DNA-directed RNA polymerase complex I subunit Rpa12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-10,SPCC126.06,twf1,twinfilin,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-11,SPCC132.02,hst2,Sir2 family histone deacetylase Hst2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-12,SPCC132.04c,0,NAD-dependent glutamate dehydrogenase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-13,SPCC1322.08,srk1,MAPK-activated protein kinase Srk1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-14,SPCC1442.14c,0,adenosine 5'-monophosphoramidase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-15,SPCC1450.05c,rox3,RNA polymerase II holoenzyme mediator complex subunit Med19,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-16,SPCC1450.11c,cek1,serine/threonine protein kinase Cek1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-17,SPCC1682.08c,0,RNA-binding protein Mcp2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-18,SPCC1795.01c,mad3,mitotic spindle checkpoint protein Mad3,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-19,SPCC1840.02c,bgs4,"1,3-beta-glucan synthase subunit Bgs4",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-20,SPCC1919.03c,0,AMP-activated protein kinase beta subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-21,SPCC24B10.03,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-22,SPCC24B10.13,skb5,Shk1 kinase binding protein 5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-23,SPCC320.03,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-24,SPCC320.04c,0,GTPase Gem1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-25,SPCC330.02,rhp7,Rad7 homolog Rhp7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-26,SPCC330.07c,0,membrane transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-27,SPCC338.11c,rrg1,methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-28,SPCC417.06c,ppk35,serine/threonine protein kinase Ppk35,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-29,SPCC417.09c,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-30,SPCC4B3.15,mid1,medial ring protein Mid1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-31,SPCC553.08c,0,GTPase Ria1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-32,SPCC569.07,0,aromatic aminotransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-33,SPCC61.05,0,S. pombe specific multicopy membrane protein family 1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-34,SPCC613.02,0,membrane transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-35,SPCC63.04,mok14,"alpha-1,3-glucan synthase Mok14",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-36,SPCC645.13,0,transcription elongation regulator,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-37,SPCC663.04,rpl39,60S ribosomal protein L39,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-38,SPCC70.06,0,nuclear export factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-39,SPCC736.06,0,aspartate-tRNA ligase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-40,SPCC736.08,cbf11,transcription factor,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-41,SPCC74.04,0,"amino acid permease, unknown 15",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-42,SPCC757.04,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-43,SPCC794.11c,0,ENTH domain protein Ent3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-44,SPCC895.05,for3,formin For3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-45,SPCC895.09c,ucp12,ATP-dependent RNA helicase Ucp1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-46,SPCC965.06,0,potassium channel subunit,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-47,SPCC965.11c,0,amino acid transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-48,SPCC970.10c,brl2,ubiquitin-protein ligase E3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P08-49,SPCP1E11.02,ppk38,Ark1/Prk1 family protein kinase Ppk38,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-50,SPCP1E11.10,0,"ankyrin repeat protein, unknown biological role",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-51,SPAC1002.03c,gls2,glucosidase II Gls2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P08-52,SPAC1002.05c,jmj2,histone demethylase Jmj2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
